epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,703.339,0.43062,0.3097,0.83443,0.98402,0.98588,0.99344,0.90493,0.40773,0.26491,0.80931,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817
31,723.229,0.42502,0.31432,0.83094,0.98906,0.98259,0.99348,0.90912,0.39399,0.26444,0.80771,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
32,743.238,0.42232,0.31071,0.82645,0.98224,0.99366,0.99287,0.90017,0.41975,0.26856,0.80479,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066
33,762.727,0.42156,0.30729,0.82312,0.98248,0.99189,0.99329,0.91381,0.3923,0.25842,0.80427,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
34,782.108,0.42725,0.30868,0.83168,0.98655,0.99158,0.99418,0.9085,0.39344,0.24924,0.80919,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
35,803.325,0.40878,0.29888,0.83051,0.97594,0.99495,0.99387,0.90279,0.40135,0.25831,0.80739,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941
36,823.045,0.41169,0.29554,0.8248,0.97912,0.99497,0.99348,0.91872,0.38711,0.26009,0.8031,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565
37,842.967,0.40549,0.29463,0.82303,0.99554,0.98044,0.99362,0.91256,0.39039,0.2536,0.801,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
38,863.513,0.40852,0.29138,0.82646,0.9823,0.98638,0.99392,0.91048,0.39037,0.24899,0.8062,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815
39,883.815,0.41128,0.29156,0.82585,0.98506,0.99133,0.99333,0.9088,0.39346,0.25514,0.80353,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444
40,905.068,0.41192,0.2905,0.82736,0.99264,0.9829,0.99407,0.91049,0.38511,0.24967,0.79901,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
41,931.834,0.39809,0.28339,0.82691,0.98712,0.98612,0.99372,0.90878,0.39048,0.25587,0.80402,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
42,971.112,0.40127,0.28819,0.82554,0.99048,0.98484,0.99372,0.91516,0.38334,0.2536,0.80631,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314
