epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.935,0.41623,0.32471,0.91238,0.97929,0.95324,0.98503,0.92631,0.31272,0.23864,0.83998,0.00998379,0.00332793,0.00998379,0.00332793,0.00998379,0.00332793,0.00998379,0.00332793
2,259.034,0.405,0.29345,0.89053,0.96965,0.97887,0.99268,0.93218,0.32731,0.23299,0.83772,0.0198849,0.00662829,0.0198849,0.00662829,0.0198849,0.00662829,0.0198849,0.00662829
3,365.544,0.43173,0.32077,0.89319,0.97279,0.97324,0.9915,0.92144,0.35789,0.26128,0.84287,0.029687,0.00989565,0.029687,0.00989565,0.029687,0.00989565,0.029687,0.00989565
4,467.8,0.45845,0.34685,0.89914,0.9708,0.96702,0.99116,0.91358,0.37975,0.26919,0.84194,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,569.184,0.46293,0.34438,0.89952,0.97037,0.97766,0.99217,0.91853,0.37117,0.26048,0.84903,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,671.023,0.46147,0.34511,0.90108,0.95939,0.98283,0.99261,0.91857,0.37245,0.26593,0.84914,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,772.262,0.45837,0.34066,0.89734,0.96617,0.98361,0.99261,0.91853,0.37652,0.2618,0.8509,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,872.911,0.45176,0.33325,0.89163,0.95703,0.98898,0.99103,0.9165,0.36693,0.25414,0.84408,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,974.204,0.44943,0.32794,0.88975,0.97469,0.97712,0.99051,0.91784,0.36493,0.27601,0.84654,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1074.95,0.44193,0.32754,0.88455,0.98028,0.96237,0.99297,0.92667,0.3657,0.25809,0.84603,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1176.05,0.44108,0.3238,0.88688,0.9733,0.98041,0.99301,0.92003,0.37098,0.25393,0.8497,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1277.33,0.43999,0.32382,0.88537,0.96544,0.98347,0.99354,0.92351,0.35973,0.25319,0.83408,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1378.09,0.43838,0.32178,0.88229,0.97099,0.97966,0.99329,0.93264,0.34484,0.24004,0.83054,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1478.51,0.44067,0.32377,0.88697,0.96095,0.98619,0.99222,0.92886,0.34961,0.25249,0.84048,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
