epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1592.43,0.49455,0.33008,0.85387,0.99363,0.98082,0.99452,0.89997,0.42536,0.27077,0.81506,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1649.15,0.48667,0.32531,0.85021,0.98797,0.98018,0.99416,0.9063,0.40472,0.26829,0.81239,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1705.36,0.4931,0.32477,0.85058,0.9757,0.97862,0.98977,0.89929,0.40819,0.26701,0.80564,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1755.86,0.48994,0.32712,0.85574,0.97688,0.98438,0.99368,0.90162,0.40793,0.26855,0.81139,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1806.09,0.47391,0.3199,0.84608,0.98273,0.98933,0.99183,0.89967,0.40688,0.2647,0.81082,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1857.16,0.47982,0.31698,0.84991,0.98582,0.97891,0.99208,0.91223,0.39532,0.25832,0.80976,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1907.15,0.47543,0.31699,0.85051,0.98175,0.98765,0.99203,0.90749,0.39869,0.25502,0.80849,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1956.95,0.47319,0.31204,0.84784,0.97602,0.98959,0.99213,0.91559,0.39514,0.25071,0.80696,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2006.68,0.47221,0.31126,0.84409,0.98091,0.98165,0.99214,0.90652,0.40152,0.25483,0.8064,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2056.64,0.46846,0.30887,0.84421,0.98114,0.98679,0.99168,0.90822,0.39729,0.25126,0.80445,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2113.43,0.4656,0.30384,0.84548,0.97784,0.98139,0.99222,0.91277,0.3776,0.24237,0.80378,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2163.91,0.46238,0.30399,0.84412,0.98042,0.98613,0.99205,0.9176,0.38209,0.24769,0.80149,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2213.58,0.4588,0.29951,0.84322,0.98304,0.98577,0.9917,0.91469,0.38538,0.24829,0.80915,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2263.3,0.4625,0.30465,0.84222,0.9833,0.98933,0.99242,0.91453,0.38503,0.24011,0.80669,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2312.93,0.45616,0.29812,0.84023,0.98398,0.9852,0.99254,0.91906,0.37474,0.23646,0.80421,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2362.78,0.45785,0.30023,0.84015,0.97228,0.98859,0.99185,0.91339,0.37677,0.23413,0.80561,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2412.42,0.45982,0.29669,0.84672,0.98825,0.98725,0.9926,0.92249,0.3748,0.23247,0.8073,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2462.2,0.4455,0.2924,0.84212,0.99197,0.98256,0.99353,0.92653,0.37129,0.23968,0.79908,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2511.82,0.4585,0.29709,0.83924,0.98536,0.9809,0.99248,0.91707,0.37377,0.24574,0.80568,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2561.53,0.45388,0.29678,0.84601,0.97904,0.98866,0.99231,0.92185,0.37182,0.24018,0.80688,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2611.13,0.45692,0.30011,0.83959,0.98704,0.98261,0.99431,0.92082,0.36703,0.23327,0.80239,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2660.79,0.44741,0.29269,0.83515,0.98638,0.98165,0.99229,0.91995,0.36166,0.22877,0.79207,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2710.4,0.4424,0.28832,0.83765,0.98377,0.9852,0.99245,0.92606,0.35027,0.22247,0.79923,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2760.19,0.43993,0.28947,0.83718,0.98955,0.98612,0.99256,0.92248,0.3608,0.22835,0.80216,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2809.93,0.44063,0.29065,0.83689,0.9862,0.9834,0.99209,0.92499,0.35185,0.22242,0.79824,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2859.52,0.43228,0.28219,0.83681,0.98826,0.98412,0.99269,0.92042,0.36236,0.22385,0.80321,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2909.15,0.43771,0.2859,0.84094,0.98509,0.98933,0.99244,0.91834,0.36045,0.22823,0.80378,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2958.98,0.4401,0.287,0.8331,0.98229,0.98601,0.99221,0.91947,0.35796,0.22716,0.80029,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3008.65,0.43508,0.28213,0.83705,0.98195,0.98856,0.99239,0.92436,0.35606,0.22756,0.80058,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3067.22,0.43144,0.27895,0.83083,0.9898,0.9866,0.9944,0.93215,0.35011,0.21734,0.79472,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3117.03,0.43291,0.28069,0.83495,0.98888,0.98622,0.99324,0.92554,0.3633,0.22169,0.80103,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
